tag,text
h1,User Guide #
p,Section Navigation
p,previous
p,Installing scikit-learn
p,next
p,1. Supervised learning
p,"scikit-learn is financially supported by Probabl and other
        institutions."
p,Enterprise-grade solutions and services
p,"© Copyright 2007 - 2026, scikit-learn developers (BSD License)."
h1,1. Supervised learning #
p,User Guide
p,1.1. Linear Models
h1,1.1. Linear Models #
h2,1.1.1. Ordinary Least Squares #
h2,1.1.2. Ridge regression and classification #
h2,1.1.3. Lasso #
h2,1.1.4. Multi-task Lasso #
h2,1.1.5. Elastic-Net #
h2,1.1.6. Multi-task Elastic-Net #
h2,1.1.7. Least Angle Regression #
h2,1.1.8. LARS Lasso #
h2,1.1.9. Orthogonal Matching Pursuit (OMP) #
h2,1.1.10. Bayesian Regression #
h2,1.1.11. Logistic regression #
h2,1.1.12. Generalized Linear Models #
h2,1.1.13. Stochastic Gradient Descent - SGD #
h2,1.1.14. Robustness regression: outliers and modeling errors #
h2,1.1.15. Quantile Regression #
h2,1.1.16. Polynomial regression: extending linear models with basis functions #
h3,1.1.1.1. Non-Negative Least Squares #
h3,1.1.1.2. Ordinary Least Squares Complexity #
h3,1.1.2.1. Regression #
h3,1.1.2.2. Classification #
h3,1.1.2.3. Ridge Complexity #
h3,1.1.2.4. Setting the regularization parameter: leave-one-out Cross-Validation #
h3,1.1.3.1. Coordinate Descent with Gap Safe Screening Rules #
h3,1.1.3.2. Setting regularization parameter #
h3,1.1.10.1. Bayesian Ridge Regression #
h3,1.1.10.2. Automatic Relevance Determination - ARD #
h3,1.1.11.1. Binary Case #
h3,1.1.11.2. Multinomial Case #
h3,1.1.11.3. Solvers #
h3,1.1.12.1. Usage #
h3,1.1.13.1. Perceptron #
h3,1.1.13.2. Passive Aggressive Algorithms #
h3,1.1.14.1. Different scenario and useful concepts #
h3,1.1.14.2. RANSAC: RANdom SAmple Consensus #
h3,1.1.14.3. Theil-Sen estimator: generalized-median-based estimator #
h3,1.1.14.4. Huber Regression #
p,"The following are a set of methods intended for regression in which
the target value is expected to be a linear combination of the features.
In mathematical notation, the predicted value \(\hat{y}\) can be
written as:"
p,"Across the module, we designate the vector \(w = (w_1,
..., w_p)\) as coef_ and \(w_0\) as intercept_ ."
p,"To perform classification with generalized linear models, see Logistic regression ."
p,"LinearRegression fits a linear model with coefficients \(w = (w_1, ..., w_p)\) to minimize the residual sum
of squares between the observed targets in the dataset, and the
targets predicted by the linear approximation. Mathematically it
solves a problem of the form:"
p,"LinearRegression takes in its fit method arguments X , y , sample_weight and stores the coefficients \(w\) of the linear model in its coef_ and intercept_ attributes:"
p,"The coefficient estimates for Ordinary Least Squares rely on the
independence of the features. When features are correlated and some
columns of the design matrix \(X\) have an approximately linear
dependence, the design matrix becomes close to singular
and as a result, the least-squares estimate becomes highly sensitive
to random errors in the observed target, producing a large
variance. This situation of multicollinearity can arise, for
example, when data are collected without an experimental design."
p,Examples
p,Ordinary Least Squares and Ridge Regression
p,"It is possible to constrain all the coefficients to be non-negative, which may
be useful when they represent some physical or naturally non-negative
quantities (e.g., frequency counts or prices of goods). LinearRegression accepts a boolean positive parameter: when set to True Non-Negative Least Squares are then applied."
p,Non-negative least squares
